aircraft_type,model_name,manufacturer,entry_year,source
V10,Vickers VC10,,1962,wikidata:P606
AN26,Antonov An-26,,1969,wikidata:P606
CL2P,Bombardier CL-415,,1993,wikidata:P606
BTB2,Beriev Be-200,,1998,wikidata:P606
CRUZ,Unknown / CRUZ,,,
AS55,Eurocopter AS355 Écureuil 2,,1979,wikidata:P606
Q4,Bombardier Dash 8 Q400,,,
B462,BAe 146-200,,1982,wikidata:P606
C310,Cessna 310,,,
G2CA,Gulfstream G200,,1997,wikidata:P606
DHC2,de Havilland Canada DHC-2 Beaver,,1947,wikidata:P606
B463,BAe 146-300,,1988,wikidata:P729
G150,Gulfstream G150,,,
E390,Embraer C-390 Millennium,,2015,wikidata:P606
IL18,Ilyushin Il-18,,1957,wikidata:P606
CH7A,Zenair CH 701,,2008,wikipedia:lead
AMX,Aermacchi AMX,,,
PA38,Piper PA-38 Tomahawk,,1977,wikidata:P729
DC4,Douglas DC-4,,1942,wikidata:P606
BE36,Beechcraft Bonanza,,1945,wikidata:P606
BE65,Beechcraft Queen Air,,1958,wikidata:P606
BE80,Beechcraft 1900,,1982,wikidata:P606
FA10,Dassault Falcon 10,,1970,wikidata:P606
BE76,Beechcraft Duchess,,1974,wikidata:P606
PIVI,Piaggio P.180 Avanti,,,
L39,Aero L-39 Albatros,,1968,wikidata:P606
F35,Lockheed Martin F-35 Lightning II,,2006,wikidata:P606
F18H,Boeing F/A-18 Super Hornet,,1995,wikidata:P606
EN48,Embraer EMB-120 Brasilia,,1983,wikidata:P606
C135,Boeing C-135 Stratolifter,,1956,wikidata:P606
R66,Robinson R66,,2007,wikidata:P606
WW24,Ikarus C42,,1996,wikidata:P606
E300,Embraer EMB 120 Brasilia,,1983,wikidata:P606
R22,Robinson R22,,1975,wikidata:P606
C46,Curtiss C-46 Commando,,1940,wikidata:P606
P28T,Piper PA-28 Turbo,,,
AJET,Dassault-Dornier Alpha Jet,,1973,wikidata:P606
BLCF,Boeing 747 LCF Dreamlifter,,2006,wikidata:P606
AN24,Antonov An-24,,1959,wikidata:P606
E3CF,Boeing E-3 Sentry,,1972,wikidata:P606
F18,Boeing F/A-18 Hornet,,,
T34T,Beechcraft T-34 Mentor,,1948,wikidata:P606
C141,Lockheed C-141 Starlifter,,1963,wikidata:P606
PA46,Piper PA-46 Malibu,,1979,wikidata:P606
MI26,Mil Mi-26,,1977,wikidata:P606
P3C,Lockheed P-3C Orion,,,
T6,Beechcraft T-6 Texan II,,2000,wikidata:P606
FA6X,Dassault Falcon 6X,,2013,wikipedia:lead
C177,Cessna 177 Cardinal,,1966,wikidata:P606
