aircraft_type,rows,model_name,manufacturer,entry_year,source,has_model_name,has_entry_year,share_rows,guess_category,suggested_action
C295,128,Airbus C295,,1997.0,wikidata:P606,True,True,0.002304894298988007,general_aviation,OK
NH90,128,NHIndustries NH90,,1995.0,wikidata:P606,True,True,0.002304894298988007,unknown,OK
H25B,127,Hawker 800,,1983.0,wikidata:P606,True,True,0.0022868873122771634,helicopter,OK
B748,125,Boeing 747-8,,2010.0,wikidata:P606,True,True,0.002250873338855476,airliner,OK
B78X,125,Boeing 787-10,,2017.0,wikidata:P606,True,True,0.002250873338855476,airliner,OK
C750,120,Cessna Citation X,,1993.0,wikidata:P606,True,True,0.002160838405301257,general_aviation,OK
HAWK,118,BAE Hawk,,1974.0,wikidata:P606,True,True,0.0021248244318795694,unknown,OK
CL30,117,Bombardier Challenger 300,,,,True,False,0.0021068174451687256,airliner,MED: improve scraping (try other queries / props / sources)
GLF6,113,Gulfstream G650/G650ER,,,,True,False,0.00203478949832535,general_aviation,MED: improve scraping (try other queries / props / sources)
A400,112,Airbus A400M Atlas,,2009.0,wikidata:P606,True,True,0.0020167825116145064,unknown,OK
IL76,110,Ilyushin Il-76,,1971.0,wikidata:P606,True,True,0.001980768538192819,unknown,OK
H47,107,Boeing CH-47 Chinook,,1961.0,wikidata:P606,True,True,0.0019267475780602875,helicopter,OK
B407,106,Bell 407,,1995.0,wikidata:P606,True,True,0.0019087405913494435,helicopter,OK
E35L,106,Embraer Legacy 600/650,,2001.0,wikidata:P606,True,True,0.0019087405913494435,military_or_special,OK
C680,103,Cessna Citation Sovereign,,2002.0,wikidata:P606,True,True,0.0018547196312169122,general_aviation,OK
LJ60,102,Learjet 60,,1990.0,wikidata:P606,True,True,0.0018367126445060684,general_aviation,OK
BE99,101,Beechcraft 99 Airliner,,1966.0,wikidata:P606,True,True,0.0018187056577952246,general_aviation,OK
GA6C,100,Gulfstream G650,,2009.0,wikidata:P606,True,True,0.0018006986710843807,general_aviation,OK
B735,99,Boeing 737-500,,1989.0,wikidata:P606,True,True,0.0017826916843735369,airliner,OK
GLF5,99,Gulfstream V,,1995.0,wikidata:P606,True,True,0.0017826916843735369,general_aviation,OK
AN32,98,Antonov An-32,,1976.0,wikidata:P606,True,True,0.0017646846976626931,unknown,OK
A35K,97,Airbus A350-1000,,2016.0,wikidata:P606,True,True,0.0017466777109518493,airliner,OK
LJ45,97,Learjet 45,,1995.0,wikidata:P606,True,True,0.0017466777109518493,general_aviation,OK
TEST,97,Test / Unknown,,,,True,False,0.0017466777109518493,unknown,MED: improve scraping (try other queries / props / sources)
C402,95,Cessna 402,,1965.0,wikidata:P606,True,True,0.0017106637375301618,general_aviation,OK
E135,91,Embraer ERJ-135,,,,True,False,0.0016386357906867865,airliner,MED: improve scraping (try other queries / props / sources)
H64,91,Boeing AH-64 Apache,,,,True,False,0.0016386357906867865,helicopter,MED: improve scraping (try other queries / props / sources)
A109,88,AgustaWestland AW109,,1971.0,wikidata:P606,True,True,0.001584614830554255,unknown,OK
D228,88,Dornier 228,,1981.0,wikidata:P606,True,True,0.001584614830554255,unknown,OK
DV20,86,Diamond DA20 Katana,,1991.0,wikidata:P606,True,True,0.0015486008571325674,general_aviation,OK
B712,85,Boeing 717-200,,1998.0,wikidata:P606,True,True,0.0015305938704217236,airliner,OK
C25A,85,Cessna Citation CJ2,,2000.0,wikidata:P729,True,True,0.0015305938704217236,general_aviation,OK
C700,85,Gulfstream G700,,2020.0,wikidata:P606,True,True,0.0015305938704217236,general_aviation,OK
C152,84,Cessna 152,,,,True,False,0.0015125868837108799,general_aviation,MED: improve scraping (try other queries / props / sources)
AT46,82,ATR 42-600,,,,True,False,0.0014765729102891921,airliner,MED: improve scraping (try other queries / props / sources)
