airline_name,country,region,avg_entry_year,modern_count_2015,modern_count_2010,diversity_score,fleet_size,pct_modern_2015,pct_modern_2010,modernity_index
Lipican Aer,Slovénie,Europe,1955.0,0,0,1,2,0.0,0.0,0.0
Loganair,Territoire britannique de l'océan Indien,Asia,1986.0,0,0,4,22,0.0,0.0,0.0
LongJiang Airlines,Taïwan,Asia,1993.0,0,0,1,2,0.0,0.0,0.0
Longtail Aviation,Bermudes,North America,1974.5,0,0,2,2,0.0,0.0,0.0
Loong Air,Taïwan,Asia,2013.468085106383,12,45,4,47,25.53191489361702,95.74468085106383,0.2553191489361702
Lucky Air,Taïwan,Asia,1994.547619047619,5,11,5,42,11.904761904761903,26.190476190476193,0.11904761904761903
Lufthansa,Allemagne,Europe,2002.2553191489362,17,98,9,235,7.234042553191489,41.702127659574465,0.07234042553191489
Lufthansa Cargo,Allemagne,Europe,1990.75,0,0,2,16,0.0,0.0,0.0
Lufthansa City,Allemagne,Europe,2007.090909090909,0,7,2,11,0.0,63.63636363636363,0.0
Lufttransport,Svalbard et ile Jan Mayen,Europe,1996.0,0,1,3,6,0.0,16.666666666666664,0.0
Lukoil-Avia,Russie,Europe,2000.0,0,0,2,3,0.0,0.0,0.0
Luminair,Allemagne,Europe,1996.0,0,0,1,3,0.0,0.0,0.0
Lumiwings,Grèce,Europe,1967.0,0,0,1,1,0.0,0.0,0.0
Lunds University School of Aviation,Suède,Europe,1992.0,0,0,3,9,0.0,0.0,0.0
Luxair,Luxembourg,Europe,1988.8,2,2,3,10,20.0,20.0,0.2
Luxaviation,Afrique du Sud,Africa,2000.6785714285713,2,4,13,28,7.142857142857142,14.285714285714285,0.07142857142857142
Luxembourg Air Ambulance,Luxembourg,Europe,1995.0,0,0,1,5,0.0,0.0,0.0
Luxwing,Malte,Europe,2003.1818181818182,0,0,6,11,0.0,0.0,0.0
Lynden Air Cargo,Porto Rico,North America,1954.0,0,0,1,13,0.0,0.0,0.0
MAE Aircraft Management,Bahreïn,Asia,1984.0,0,0,1,1,0.0,0.0,0.0
MAK KG Airlines,Kirghizistan,Asia,1970.0,0,0,3,4,0.0,0.0,0.0
MASwings,Malaisie,Asia,1965.0,0,0,1,6,0.0,0.0,0.0
MEA,Liban,Asia,2008.0666666666666,10,11,3,15,66.66666666666666,73.33333333333333,0.6666666666666665
MHS Aviation,Allemagne,Europe,1993.25,0,0,3,4,0.0,0.0,0.0
MIAT Mongolian Airlines,Irlande,Europe,2001.3333333333333,1,1,3,3,33.33333333333333,33.33333333333333,0.33333333333333326
MJets Air,Malaisie,Asia,1997.0,0,0,1,5,0.0,0.0,0.0
MNG Airlines,Turquie,Europe,1992.0,0,0,3,8,0.0,0.0,0.0
MPC Air,Serbie,Europe,1996.0,0,0,1,2,0.0,0.0,0.0
Mack Air,Botswana,Africa,1982.0,0,0,1,21,0.0,0.0,0.0
Maersk Air Cargo,Territoire britannique de l'océan Indien,Asia,1982.7272727272727,0,0,3,22,0.0,0.0,0.0
Magnicharters,Mexique,North America,1984.0,0,0,1,6,0.0,0.0,0.0
Mahan Air,Iran,Asia,1988.1379310344828,0,0,10,29,0.0,0.0,0.0
Makers Air,Porto Rico,North America,1982.0,0,0,1,8,0.0,0.0,0.0
Malawi Airlines,Éthiopie,Africa,1982.0,0,0,2,2,0.0,0.0,0.0
Malaysia - Air Force,Île de Man,Europe,1993.5384615384614,0,0,5,13,0.0,0.0,0.0
Malaysia Airlines,Malaisie,Asia,2001.6575342465753,16,23,5,73,21.91780821917808,31.506849315068493,0.2191780821917808
Maldivian,Maldives,Asia,1966.8333333333333,0,0,2,12,0.0,0.0,0.0
Maleth-Aero,Malte,Europe,1987.0,0,0,1,4,0.0,0.0,0.0
Malta Air,Malte,Europe,2016.0,6,6,1,6,100.0,100.0,1.0
Manasik Aviation,Arabie saoudite,Asia,1991.0,0,0,1,2,0.0,0.0,0.0
Mandarin Airlines,Taïwan,Asia,1997.0,0,0,1,1,0.0,0.0,0.0
Mango,Espagne,Europe,2020.0,1,1,1,1,100.0,100.0,1.0
Manta Air,Afrique du Sud,Africa,1965.85,0,0,2,20,0.0,0.0,0.0
Marabu,Estonie,Europe,2014.0,0,8,1,8,0.0,100.0,0.0
Marathon Airlines,Grèce,Europe,1983.0,0,0,1,1,0.0,0.0,0.0
Marshall University Aviation,Porto Rico,North America,1993.090909090909,0,0,2,11,0.0,0.0,0.0
Martinair,Pays-Bas,Europe,1988.0,0,0,1,1,0.0,0.0,0.0
Martinaire,Porto Rico,North America,1982.0,0,0,1,25,0.0,0.0,0.0
Massey University School of Aviation,Nouvelle-Zélande,Oceania,1997.7142857142858,0,0,2,14,0.0,0.0,0.0
Mauritania Airlines,Mauritanie,Africa,1997.2,1,1,4,5,20.0,20.0,0.2
Mavi GÃ¶k Airlines,Turquie,Europe,1996.3076923076924,0,0,4,13,0.0,0.0,0.0
Max Air,Nigeria,Africa,1989.0,0,0,5,6,0.0,0.0,0.0
Maxair,Porto Rico,North America,2007.8333333333333,0,0,2,6,0.0,0.0,0.0
Maya Island Air,Belize,North America,1982.0,0,0,1,6,0.0,0.0,0.0
McDan Aviation,Saint-Marin,Europe,1996.0,0,0,1,1,0.0,0.0,0.0
McNeely Charter Services,Porto Rico,North America,1965.5,0,0,2,4,0.0,0.0,0.0
Med-Trans,Porto Rico,North America,1991.4615384615386,0,0,3,13,0.0,0.0,0.0
Medavia,Malte,Europe,1982.0,0,0,1,2,0.0,0.0,0.0
Memorial Hermann Life Flight,Porto Rico,North America,1999.0,0,0,1,8,0.0,0.0,0.0
Meraj Airlines,Iran,Asia,1994.0,0,0,3,5,0.0,0.0,0.0
Meridian,Ukraine,Europe,1957.0,0,0,1,3,0.0,0.0,0.0
Meridian Air Company,Russie,Europe,1987.75,0,0,2,4,0.0,0.0,0.0
Mermoz-Academy,France,Europe,2012.0,0,1,1,1,0.0,100.0,0.0
Mesa Airlines,Porto Rico,North America,2001.0,0,0,1,6,0.0,0.0,0.0
Mexicana,Mexique,North America,1995.857142857143,0,0,2,7,0.0,0.0,0.0
Mexico - Air Force,Mexique,North America,1994.2,0,0,13,75,0.0,0.0,0.0
MidAmerica Jet,Porto Rico,North America,2007.75,0,0,3,4,0.0,0.0,0.0
Middle Georgia State University School of Aviation,Porto Rico,North America,1990.8333333333333,0,0,4,6,0.0,0.0,0.0
Middle Tennessee State University Aerospace,Porto Rico,North America,1994.658536585366,0,0,4,41,0.0,0.0,0.0
Midwest Aviation Division,Porto Rico,North America,1972.6,0,0,3,5,0.0,0.0,0.0
Millesime Aviation,France,Europe,1992.0,0,0,2,2,0.0,0.0,0.0
Modern Logistics,Brésil,South America,1997.0,0,0,1,2,0.0,0.0,0.0
Monacair,Monaco,Europe,1997.0,0,0,1,1,0.0,0.0,0.0
Motor Sich Airlines,Ukraine,Europe,1960.4285714285713,0,0,3,7,0.0,0.0,0.0
Mountain Aviation,Porto Rico,North America,1991.0,0,0,2,8,0.0,0.0,0.0
Mountain Flyers,Suisse,Europe,1990.7777777777778,0,3,5,9,0.0,33.33333333333333,0.0
Mounthill Aviation,Nigeria,Africa,1998.0,0,0,2,2,0.0,0.0,0.0
MoÃ§ambique Expresso,Mozambique,Africa,1994.0,0,0,2,4,0.0,0.0,0.0
Multiflight,Territoire britannique de l'océan Indien,Asia,1982.0,0,0,3,3,0.0,0.0,0.0
My Freighter,Ouzbékistan,Asia,1985.5555555555557,0,0,2,9,0.0,0.0,0.0
My Indo Airlines,Timor oriental,Asia,1986.1666666666667,0,0,2,6,0.0,0.0,0.0
My Jet,Roumanie,Europe,2000.25,0,0,4,4,0.0,0.0,0.0
MyWay Airlines,Géorgie,Asia,1980.5,0,0,2,2,0.0,0.0,0.0
Myanmar Airways International,Birmanie,Asia,1997.5714285714287,0,0,2,7,0.0,0.0,0.0
Myanmar National Airlines,Birmanie,Asia,1997.0,0,0,1,2,0.0,0.0,0.0
NATO,Luxembourg,Europe,1972.0,0,0,1,12,0.0,0.0,0.0
NEAJETS,Porto Rico,North America,1987.0,0,0,2,3,0.0,0.0,0.0
NG Eagle,Nigeria,Africa,1985.75,0,0,4,4,0.0,0.0,0.0
NHC Northern Helicopter,Allemagne,Europe,1997.8,0,0,2,10,0.0,0.0,0.0
Naljets,Territoire britannique de l'océan Indien,Asia,2012.0,0,1,1,1,0.0,100.0,0.0
Nam Air,Timor oriental,Asia,1989.0,0,0,1,11,0.0,0.0,0.0
Nanshan Flying,Taïwan,Asia,1955.0,0,0,1,8,0.0,0.0,0.0
Nanshan Jet,Taïwan,Asia,1990.0,0,0,2,2,0.0,0.0,0.0
National Airways Corporation,Afrique du Sud,Africa,1990.7142857142858,0,1,4,7,0.0,14.285714285714285,0.0
National Jet Express,Îles Cocos,Oceania,2002.2222222222222,0,0,2,9,0.0,0.0,0.0
National Jets,Porto Rico,North America,2002.0,0,0,1,1,0.0,0.0,0.0
Nauru Airlines,Îles Cocos,Oceania,1985.2857142857142,0,0,3,7,0.0,0.0,0.0
Neojets,Porto Rico,North America,1997.0,0,0,1,1,0.0,0.0,0.0
Neos,Irlande,Europe,2009.6666666666667,8,8,2,12,66.66666666666666,66.66666666666666,0.6666666666666665
Nepal Airlines,Népal,Asia,1987.0,0,0,1,2,0.0,0.0,0.0
NetJets,Portugal,Europe,2009.2143950995405,94,338,9,653,14.39509954058193,51.76110260336907,0.1439509954058193
Netherlands - Coast Guard,Aruba,North America,1987.4,0,1,3,5,0.0,20.0,0.0
Netherlands - Navy,Porto Rico,North America,1995.0,0,0,1,8,0.0,0.0,0.0
Netherlands - Royal Air Force,Territoire britannique de l'océan Indien,Asia,1970.34375,0,0,4,32,0.0,0.0,0.0
New England Airlines,Porto Rico,North America,1965.0,0,0,1,4,0.0,0.0,0.0
New Pacific Airlines,Porto Rico,North America,1982.0,0,0,1,3,0.0,0.0,0.0
New Way Cargo Airlines,Kirghizistan,Asia,1974.25,0,0,2,4,0.0,0.0,0.0
New Zealand - Royal New Zealand Air Force,Porto Rico,North America,1990.0833333333333,0,0,7,36,0.0,0.0,0.0
NexGen Aviation,Porto Rico,North America,1995.5,0,0,2,2,0.0,0.0,0.0
NextGen Flight Solutions,Porto Rico,North America,1995.0,0,0,1,1,0.0,0.0,0.0
Nigeria - Air Force,Porto Rico,North America,1980.0,0,0,5,7,0.0,0.0,0.0
Nile Air,Égypte,Africa,1993.0,0,0,1,2,0.0,0.0,0.0
Nippon Cargo Airlines,Japon,Asia,2010.0,0,8,1,8,0.0,100.0,0.0
Nok Air,Thaïlande,Asia,1997.0,0,0,1,11,0.0,0.0,0.0
Nolinor Aviation,Canada,North America,1984.3333333333333,0,0,3,3,0.0,0.0,0.0
Nomad Aviation,Suisse,Europe,1985.0,0,0,1,1,0.0,0.0,0.0
Noordzee Helikopters Vlaanderen,Territoire britannique de l'océan Indien,Asia,2005.4736842105262,0,3,5,19,0.0,15.789473684210526,0.0
NordJet Airlines,Espagne,Europe,1996.0,0,0,1,1,0.0,0.0,0.0
NordStar,Russie,Europe,1995.5555555555557,0,0,2,9,0.0,0.0,0.0
Nordwind Airlines,Russie,Europe,1997.1666666666667,2,2,6,24,8.333333333333332,8.333333333333332,0.08333333333333331
Norlandair,Islande,Europe,1965.0,0,0,1,3,0.0,0.0,0.0
Norsk Luftambulanse,Svalbard et ile Jan Mayen,Europe,1996.8461538461538,0,0,3,26,0.0,0.0,0.0
Nortavia,Portugal,Europe,1957.2222222222222,0,0,2,9,0.0,0.0,0.0
North Cariboo Air,Canada,North America,1981.142857142857,0,0,3,7,0.0,0.0,0.0
North Central Aviation,Porto Rico,North America,1996.0,0,0,1,1,0.0,0.0,0.0
North Country Aviation,Porto Rico,North America,1963.0,0,0,1,1,0.0,0.0,0.0
North Flying,Îles Féroé,Europe,1974.0,0,0,2,8,0.0,0.0,0.0
North Star Aviation,Porto Rico,North America,1974.0,0,0,2,2,0.0,0.0,0.0
North-West Air Company,Russie,Europe,2001.7692307692307,2,3,5,13,15.384615384615385,23.076923076923077,0.15384615384615385
North-Western Cargo International Airlines,Taïwan,Asia,1982.0,0,0,1,4,0.0,0.0,0.0
North-Wright Airways,Canada,North America,1975.0666666666666,0,0,7,15,0.0,0.0,0.0
Northern Air,Canada,North America,1982.0,0,0,1,1,0.0,0.0,0.0
