airline_name,country,region,avg_entry_year,modern_count_2015,modern_count_2010,diversity_score,fleet_size,pct_modern_2015,pct_modern_2010,modernity_index,new_gen_share,cluster,pca_1,pca_2
Aeroclub Barcelona-Sabadell,Espagne,Europe,1959.625,0,0,3,8,0.0,0.0,0.0,0.0,0,-0.6319476205144141,-0.10450065550566111
Aerodynamics Academy,Espagne,Europe,2002.25,0,0,2,16,0.0,0.0,0.0,0.0,0,-0.6876931287233303,-0.3258927606111954
Aeroflot,Russie,Europe,1999.377358490566,3,15,6,106,2.830188679245284,14.150943396226417,0.0283018867924528,0.0283018867924528,2,0.09280535825004514,1.2393327323741494
Aeroitalia,Malte,Europe,1998.1818181818185,0,0,3,11,0.0,0.0,0.0,0.0,0,-0.6236604259396865,-0.08582981427807822
Aerolineas Argentinas,Argentine,South America,1997.904761904762,12,12,5,84,14.285714285714285,14.285714285714285,0.1428571428571428,0.1428571428571428,2,0.8467035878683059,0.508945389176655
Aerolineas Ejecutivas,Mexique,North America,2006.25,0,6,3,8,0.0,75.0,0.0,0.0,0,-0.6319476205144141,-0.10450065550566111
Aeromexico,Irlande,Europe,2007.5,42,42,2,76,55.26315789473685,55.26315789473685,0.5526315789473685,0.5526315789473685,1,3.783679054244021,-1.5072354778140162
Aeromexico Connect,Mexique,North America,2004.0,0,0,1,36,0.0,0.0,0.0,0.0,0,-0.7102898586333358,-0.4726015008063983
Aeronaves TSM,Mexique,North America,1983.1724137931035,0,1,7,58,0.0,1.7241379310344829,0.0,0.0,2,-0.18244893596952713,1.2914040918037408
Aeropartner,République tchèque,Europe,2000.7142857142856,0,0,3,7,0.0,0.0,0.0,0.0,0,-0.6347100187059901,-0.11072426924818872
Aeroservicios de la Costa,Mexique,North America,1969.0,0,0,1,5,0.0,0.0,0.0,0.0,0,-0.7959242025721882,-0.6655335268247544
Aerotec,Espagne,Europe,1956.5,0,0,2,8,0.0,0.0,0.0,0.0,0,-0.7097923142559374,-0.3756816705514164
Aerovias DAP,Chili,South America,1984.7777777777776,0,0,4,9,0.0,0.0,0.0,0.0,0,-0.5513405285813151,0.1729039732826218
Aeroways,Allemagne,Europe,2000.4,0,0,2,5,0.0,0.0,0.0,0.0,0,-0.718079508830665,-0.39435251177899916
Aerowest,Allemagne,Europe,2000.8,0,3,4,10,0.0,30.0,0.0,0.0,0,-0.5485781303897392,0.17912758702514942
Aerus,Mexique,North America,1982.0,0,0,1,7,0.0,0.0,0.0,0.0,0,-0.7903994061890365,-0.6530862993396992
Africa World Airlines,Ghana,Africa,1995.0,0,0,1,8,0.0,0.0,0.0,0.0,0,-0.7876370079974605,-0.6468626855971716
Air Adelphi,Saint-Vincent-et-les-Grenadines,North America,1965.0,0,0,1,5,0.0,0.0,0.0,0.0,0,-0.7959242025721882,-0.6655335268247544
Air Algerie,Algérie,Africa,1991.9166666666667,0,0,4,36,0.0,0.0,0.0,0.0,0,-0.4767557774087662,0.3409415443308675
Air Alliance,Allemagne,Europe,2002.428571428572,0,1,5,7,0.0,14.285714285714285,0.0,0.0,0,-0.47902063122294364,0.4316377608433217
Air Arabia,Émirats arabes unis,Asia,2008.3333333333333,6,6,2,9,66.66666666666666,66.66666666666666,0.6666666666666665,0.6666666666666665,1,4.487061356188537,-2.2450409960682585
Air Astana,Irlande,Europe,2010.5151515151515,16,27,4,33,48.48484848484848,81.81818181818183,0.4848484848484848,0.4848484848484848,1,3.2924779532913417,-1.0417896163580755
Air Austral,Polynésie française,Oceania,2009.0,3,3,2,6,50.0,50.0,0.5,0.5,1,3.180251343550585,-1.7948161024809994
Air Baltic,Lettonie,Europe,2015.0,50,50,1,50,100.0,100.0,1.0,1.0,1,7.119520624428075,-3.198845317300067
Air Borealis,Canada,North America,1965.0,0,0,1,9,0.0,0.0,0.0,0.0,0,-0.7848746098058846,-0.640639071854644
Air Busan,Corée du Sud,Asia,2004.5,8,8,2,16,50.0,50.0,0.5,0.5,1,3.207875325466344,-1.7325799650557232
Air Cairo,Égypte,Africa,2012.571428571429,0,18,2,21,0.0,85.71428571428571,0.0,0.0,0,-0.6738811377654509,-0.29477469189855726
Air Canada,Canada,North America,2005.788944723618,84,84,9,199,42.21105527638191,42.21105527638191,0.422110552763819,0.422110552763819,1,3.651459703580318,1.5237406327239036
Air Canada Rouge,Canada,North America,1994.125,0,0,2,32,0.0,0.0,0.0,0.0,0,-0.6434947576581161,-0.22631494073075345
Air Caraibes,France,Europe,2014.7142857142856,4,7,2,7,57.14285714285714,100.0,0.5714285714285714,0.5714285714285714,1,3.7395235209121145,-1.9895478036591183
Air Central,Taïwan,Asia,1990.6153846153843,0,0,3,13,0.0,0.0,0.0,0.0,0,-0.6181356295565348,-0.073382586793023
Air Changan,Taïwan,Asia,1997.0,0,0,1,14,0.0,0.0,0.0,0.0,0,-0.7710626188480052,-0.6095210031420059
Air Charter Scotland,Territoire britannique de l'océan Indien,Asia,2003.2222222222224,0,3,5,9,0.0,33.33333333333333,0.0,0.0,0,-0.47349583483979185,0.444084988328377
Air Chathams,Nouvelle-Zélande,Oceania,1979.272727272728,0,0,3,11,0.0,0.0,0.0,0.0,0,-0.6236604259396865,-0.08582981427807822
Air China,Taïwan,Asia,2001.3178294573645,58,144,13,387,14.987080103359174,37.2093023255814,0.1498708010335917,0.1498708010335917,2,2.361112160929272,4.544416427102249
Air China Cargo,Taïwan,Asia,1987.88,0,0,4,25,0.0,0.0,0.0,0.0,0,-0.5071421575161009,0.2724817931630637
Air China Inner Mongolia,Taïwan,Asia,1993.6666666666667,0,0,2,9,0.0,0.0,0.0,0.0,0,-0.7070299160643615,-0.3694580568088887
Air Corporate,Italie,Europe,1992.6,0,1,7,10,0.0,10.0,0.0,0.0,2,-0.31504404916516954,0.9926706321624151
Air CÃ´te d'Ivoire,Côte d'Ivoire,Africa,1998.1666666666667,0,1,2,6,0.0,16.666666666666664,0.0,0.0,0,-0.7153171106390891,-0.3881288980364716
Air Do,Japon,Asia,1974.3076923076924,0,0,2,13,0.0,0.0,0.0,0.0,0,-0.6959803232980579,-0.34456360183877827
Air Dolomiti,Italie,Europe,2004.0,0,0,1,9,0.0,0.0,0.0,0.0,0,-0.7848746098058846,-0.640639071854644
Air Europa,Espagne,Europe,1997.703703703704,1,1,2,27,3.7037037037037033,3.7037037037037033,0.037037037037037,0.037037037037037,0,-0.36874612237972365,-0.3616320616244676
Air Flamenco,Porto Rico,North America,1965.0,0,0,1,8,0.0,0.0,0.0,0.0,0,-0.7876370079974605,-0.6468626855971716
Air France,France,Europe,2004.1681415929204,44,83,10,226,19.469026548672566,36.72566371681416,0.1946902654867256,0.1946902654867256,2,2.032026554575593,2.6027776351054768
Air Greenland,Îles Féroé,Europe,1985.076923076923,0,0,3,13,0.0,0.0,0.0,0.0,0,-0.6181356295565348,-0.073382586793023
Air Incheon,Corée du Sud,Asia,1994.0,0,0,2,6,0.0,0.0,0.0,0.0,0,-0.7153171106390891,-0.3881288980364716
Air India,Inde,Asia,2009.496732026144,11,111,7,153,7.18954248366013,72.54901960784314,0.0718954248366013,0.0718954248366013,2,0.6401259902182395,1.680378648992364
Air India Express,Inde,Asia,2010.2444444444443,52,64,4,90,57.77777777777777,71.11111111111111,0.5777777777777777,0.5777777777777777,1,4.173959494222177,-0.9484885275974285
Air Inuit,Canada,North America,1975.4545454545453,0,0,3,11,0.0,0.0,0.0,0.0,0,-0.6236604259396865,-0.08582981427807822
Air Liaison,Canada,North America,1979.75,0,0,2,8,0.0,0.0,0.0,0.0,0,-0.7097923142559374,-0.3756816705514164
Air Libya,Libye,Africa,1987.75,0,0,5,8,0.0,0.0,0.0,0.0,0,-0.4762582330313677,0.43786137458584934
Air Macau,Macao,Asia,2004.0,4,8,3,16,25.0,50.0,0.25,0.25,0,1.3379357921130304,-0.758055347787704
Air Mauritius,Maurice,Africa,2007.5,2,6,3,8,25.0,75.0,0.25,0.25,0,1.3158366065804232,-0.807844257727925
Air Methods,Porto Rico,North America,1992.9473684210527,0,0,6,19,0.0,0.0,0.0,0.0,2,-0.3680271591825098,0.7775021407994084
Air New Zealand,Nouvelle-Zélande,Oceania,2011.103448275862,13,19,3,29,44.82758620689656,65.51724137931035,0.4482758620689655,0.4482758620689655,1,2.9186413556097666,-1.2349726053800887
Air Niugini,Papouasie-Nouvelle-Guinée,Oceania,1990.1666666666667,0,0,4,18,0.0,0.0,0.0,0.0,0,-0.5264789448571321,0.22891649696537034
Air North,Canada,North America,1991.6666666666667,0,0,2,6,0.0,0.0,0.0,0.0,0,-0.7153171106390891,-0.3881288980364716
Air Nunavut,Canada,North America,1976.888888888889,0,0,2,9,0.0,0.0,0.0,0.0,0,-0.7070299160643615,-0.3694580568088887
Air Panama,Panama,North America,1981.0,0,0,2,5,0.0,0.0,0.0,0.0,0,-0.718079508830665,-0.39435251177899916
Air Peace,Nigeria,Africa,1988.4615384615383,0,0,6,13,0.0,0.0,0.0,0.0,2,-0.3846015483319651,0.7401604583442427
Air Senegal,Sénégal,Africa,2003.571428571429,3,3,4,7,42.85714285714285,42.85714285714285,0.4285714285714285,0.4285714285714285,1,2.782193350055253,-1.0452751437263141
Air Seoul,Corée du Sud,Asia,1993.0,0,0,1,6,0.0,0.0,0.0,0.0,0,-0.7931618043806123,-0.6593099130822269
Air Seychelles,Seychelles,Africa,1979.0,0,2,2,7,0.0,28.57142857142857,0.0,0.0,0,-0.7125547124475132,-0.38190528429394394
Air Spray,Canada,North America,1965.315789473684,0,0,3,19,0.0,0.0,0.0,0.0,0,-0.6015612404070795,-0.036040904337857296
Air Sunshine,Porto Rico,North America,1973.75,0,0,3,8,0.0,0.0,0.0,0.0,0,-0.6319476205144141,-0.10450065550566111
Air Tanzania,Tanzanie,Africa,2009.2,4,4,2,5,80.0,80.0,0.8,0.8,1,5.514830017872814,-2.6450520388902437
Air Tetiaroa,Territoire britannique de l'océan Indien,Asia,1972.571428571429,0,0,4,7,0.0,0.0,0.0,0.0,0,-0.5568653249644668,0.16045674579756655
Air Transat,Canada,North America,2001.6097560975609,19,19,3,41,46.34146341463415,46.34146341463415,0.4634146341463415,0.4634146341463415,1,3.069738379788264,-1.202880274414251
Air Transport Europe,Slovaquie,Europe,1992.9,0,0,4,10,0.0,0.0,0.0,0.0,0,-0.5485781303897392,0.17912758702514942
Air Transport International,Porto Rico,North America,1981.2,0,0,3,10,0.0,0.0,0.0,0.0,0,-0.6264228241312624,-0.09205342802060583
Air Travel,Taïwan,Asia,2006.7272727272727,0,7,3,11,0.0,63.63636363636363,0.0,0.0,0,-0.6236604259396865,-0.08582981427807822
Air-Glaciers,Suisse,Europe,1978.6875,0,0,3,16,0.0,0.0,0.0,0.0,0,-0.6098484349818071,-0.05471174556544013
AirAsia,Malaisie,Asia,2014.5454545454545,15,55,2,55,27.27272727272727,100.0,0.2727272727272727,0.2727272727272727,0,1.544895921215224,-0.8504557543496333
AirExplore,Slovaquie,Europe,1997.0,0,0,1,8,0.0,0.0,0.0,0.0,0,-0.7876370079974605,-0.6468626855971716
AirNet,Porto Rico,North America,1973.0,0,0,1,13,0.0,0.0,0.0,0.0,0,-0.7738250170395811,-0.6157446168845335
AirSERBIA,Serbie,Europe,1992.7142857142856,0,0,2,14,0.0,0.0,0.0,0.0,0,-0.6932179251064821,-0.3383399880962506
AirSF Flight Services,Porto Rico,North America,1991.0,0,0,1,9,0.0,0.0,0.0,0.0,0,-0.7848746098058846,-0.640639071854644
AirSmart,Porto Rico,North America,1993.0,0,0,2,8,0.0,0.0,0.0,0.0,0,-0.7097923142559374,-0.3756816705514164
AirSprint,Canada,North America,2006.7272727272727,0,4,3,22,0.0,18.181818181818183,0.0,0.0,0,-0.5932740458323518,-0.017370063110274447
AirX,Malte,Europe,1995.2631578947369,0,0,5,19,0.0,0.0,0.0,0.0,0,-0.44587185292403303,0.5063211257536532
Airbus,Allemagne,Europe,2013.681242807825,447,822,13,869,51.43843498273878,94.59148446490218,0.5143843498273878,0.5143843498273878,3,6.532563052880529,6.518685161130762
Aircraft Management Group,Porto Rico,North America,1993.857142857143,0,1,4,7,0.0,14.285714285714285,0.0,0.0,0,-0.5568653249644668,0.16045674579756655
Airest,Estonie,Europe,1983.0,0,0,1,5,0.0,0.0,0.0,0.0,0,-0.7959242025721882,-0.6655335268247544
Airfast Indonesia,Timor oriental,Asia,1980.4,2,2,5,10,20.0,20.0,0.2,0.2,2,1.087493945027654,-0.11236627970690649
Airlift,Svalbard et ile Jan Mayen,Europe,1985.8,0,3,3,10,0.0,30.0,0.0,0.0,0,-0.6264228241312624,-0.09205342802060583
Airlink,Autriche,Europe,1998.558139534884,0,0,9,43,0.0,0.0,0.0,0.0,2,-0.06819552136011899,1.740411915757337
Airnorth,Îles Cocos,Oceania,1995.4615384615383,0,0,3,13,0.0,0.0,0.0,0.0,0,-0.6181356295565348,-0.073382586793023
Airshare,Porto Rico,North America,2000.8163265306123,0,1,17,49,0.0,2.0408163265306123,0.0,0.0,2,0.571136417721522,3.9472017185785453
Aitheras Aviation Group,Porto Rico,North America,1990.428571428572,0,0,3,7,0.0,0.0,0.0,0.0,0,-0.6347100187059901,-0.11072426924818872
Akasa Air,Inde,Asia,2016.0,30,30,1,30,100.0,100.0,1.0,1.0,1,7.064272660596558,-3.323317592150619
Alaska Airlines,Porto Rico,North America,1999.0198412698408,8,8,5,252,3.1746031746031744,3.1746031746031744,0.0317460317460317,0.0317460317460317,2,0.44510460534423807,1.8671096544645231
Alaska Central Express,Porto Rico,North America,1982.0,0,0,1,19,0.0,0.0,0.0,0.0,0,-0.7572506278901259,-0.5784029344293679
AlbaStar,Espagne,Europe,1997.0,0,0,1,5,0.0,0.0,0.0,0.0,0,-0.7959242025721882,-0.6655335268247544
Alidaunia,Italie,Europe,2002.75,0,5,4,8,0.0,62.5,0.0,0.0,0,-0.554102926772891,0.16668035954009416
Aliserio,Italie,Europe,1985.6,0,0,3,5,0.0,0.0,0.0,0.0,0,-0.6402348150891418,-0.12317149673324394
Alkan Air,Canada,North America,1970.571428571429,0,0,6,14,0.0,0.0,0.0,0.0,2,-0.3818391501403892,0.7463840720867704
All Nippon Airways,Japon,Asia,2000.8296296296296,30,41,10,135,22.22222222222222,30.37037037037037,0.2222222222222222,0.2222222222222222,2,1.9951535634240185,1.9589710820291766
Allegiant Air,Porto Rico,North America,2001.255319148936,14,14,2,47,29.78723404255319,29.78723404255319,0.2978723404255319,0.2978723404255319,1,1.7187054006902216,-0.9709871542619195
Alliance Airlines,Îles Cocos,Oceania,1992.6888888888889,0,0,3,45,0.0,0.0,0.0,0.0,0,-0.5297388874261064,0.1257730529678608
Aloha Air Cargo,Porto Rico,North America,1984.571428571429,0,0,2,7,0.0,0.0,0.0,0.0,0,-0.7125547124475132,-0.38190528429394394
Alpha Aviation,République tchèque,Europe,1990.2857142857144,0,0,4,14,0.0,0.0,0.0,0.0,0,-0.5375285376234357,0.2040220419952599
Alpine Air Express,Porto Rico,North America,1978.8,0,0,2,75,0.0,0.0,0.0,0.0,0,-0.5247116354203532,0.04130045019793408
Alrosa,Russie,Europe,1985.0,0,0,2,5,0.0,0.0,0.0,0.0,0,-0.718079508830665,-0.39435251177899916
Amelia,France,Europe,1996.2857142857144,0,0,4,14,0.0,0.0,0.0,0.0,0,-0.5375285376234357,0.2040220419952599
American Airlines,Porto Rico,North America,1999.571043771044,162,162,14,1485,10.909090909090908,10.909090909090908,0.109090909090909,0.109090909090909,3,5.154348347786758,11.763854435832133
American Jet International,Porto Rico,North America,1996.428571428572,0,0,4,7,0.0,0.0,0.0,0.0,0,-0.5568653249644668,0.16045674579756655
Ameriflight,Porto Rico,North America,1971.2272727272727,0,0,6,132,0.0,0.0,0.0,0.0,2,-0.05587616353443489,1.4807704937050294
Amerijet International,Porto Rico,North America,1985.0,0,0,2,12,0.0,0.0,0.0,0.0,0,-0.6987427214896338,-0.3507872155813058
Ameristar,Porto Rico,North America,2001.0,0,0,1,7,0.0,0.0,0.0,0.0,0,-0.7903994061890365,-0.6530862993396992
Anap Jets,Nigeria,Africa,2003.5,0,0,3,6,0.0,0.0,0.0,0.0,0,-0.637472416897566,-0.11694788299071633
Arab Wings,Saint-Marin,Europe,1991.2,0,0,4,5,0.0,0.0,0.0,0.0,0,-0.5623901213476186,0.14800951831251133
Arajet,République dominicaine,North America,2016.0,10,10,1,10,100.0,100.0,1.0,1.0,1,7.0090246967650405,-3.4477898670011715
Arcus Air,Allemagne,Europe,2003.0,0,0,4,9,0.0,0.0,0.0,0.0,0,-0.5513405285813151,0.1729039732826218
