airline_name,country,region,avg_entry_year,modern_count_2015,modern_count_2010,diversity_score,fleet_size,pct_modern_2015,pct_modern_2010,modernity_index
Trident Aircraft,Porto Rico,North America,2006.2,0,2,4,5,0.0,40.0,0.0
Trigana Air,Timor oriental,Asia,1984.7142857142856,0,0,2,7,0.0,0.0,0.0
Tropic Air,Belize,North America,1982.0,0,0,1,15,0.0,0.0,0.0
Tulpar Air,Russie,Europe,1990.0,0,0,4,7,0.0,0.0,0.0
Tulpar Aircompany,Russie,Europe,1994.142857142857,0,0,3,7,0.0,0.0,0.0
Tunisair,Tunisie,Africa,2003.7777777777776,0,5,3,9,0.0,55.55555555555556,0.0
Tunisia - Air Force,Zimbabwe,Africa,1966.375,0,0,3,8,0.0,0.0,0.0
Turkey - Air Force,Guernesey,Europe,1998.6470588235293,0,0,2,17,0.0,0.0,0.0
Turkish Airlines,Turquie,Europe,2002.4006734006732,77,105,10,297,25.925925925925924,35.35353535353536,0.2592592592592592
Turkmenistan Airlines,Turkménistan,Asia,1988.368421052632,0,0,7,19,0.0,0.0,0.0
Twin Jet,France,Europe,1982.0,0,0,1,13,0.0,0.0,0.0
UND Aerospace,Porto Rico,North America,1960.6666666666667,0,0,5,9,0.0,0.0,0.0
UPS,Porto Rico,North America,1989.2517482517485,0,30,6,286,0.0,10.48951048951049,0.0
US-Bangla Airlines,Timor oriental,Asia,1997.0,0,0,1,8,0.0,0.0,0.0
USA Jet Airlines,Porto Rico,North America,1988.857142857143,0,0,3,7,0.0,0.0,0.0
UVT Aero,Russie,Europe,1991.0,0,0,1,7,0.0,0.0,0.0
Ukraine International Airlines,Ukraine,Europe,2000.4,0,0,2,5,0.0,0.0,0.0
Ultimate Jet,Porto Rico,North America,1993.0,0,0,1,5,0.0,0.0,0.0
Unicair,Allemagne,Europe,1984.8461538461536,0,0,2,13,0.0,0.0,0.0
Union Aviation,Lettonie,Europe,1997.111111111111,0,0,4,9,0.0,0.0,0.0
United Airlines,Porto Rico,North America,1999.590799031477,183,183,18,1239,14.769975786924938,14.769975786924938,0.1476997578692493
United Arab Emirates - Air Force,Guernesey,Europe,1983.9285714285716,0,0,3,14,0.0,0.0,0.0
United Aviate Academy,Porto Rico,North America,1995.0,0,0,1,50,0.0,0.0,0.0
United Kingdom - Air Ambulance,Territoire britannique de l'océan Indien,Asia,1997.0625,0,13,5,48,0.0,27.08333333333333,0.0
